u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,from,to,access,bridge,geometry
71432013,71711519,0,9415264,0,2,,Cypress Avenue,residential,,,161.31599999999997,71711519,71432013,,,"LINESTRING (-71.739395 42.314349, -71.739379 42.313692, -71.739336 42.312899)"
71432013,71511831,0,9415264,0,2,,Cypress Avenue,residential,,,175.79500000000002,71511831,71432013,,,"LINESTRING (-71.739499 42.31133, -71.739425 42.311566, -71.739367 42.31179, -71.739335 42.31199, -71.739327 42.312181, -71.739322 42.312493, -71.739336 42.312899)"
71432104,71526119,0,9415936,0,2,,Wesleyan Terrace,residential,,12.2,158.768,71526119,71432104,,,"LINESTRING (-71.7166003 42.2911458, -71.7171205 42.2925208)"
71432104,3477321554,0,9414452,0,2,,Knowlton Avenue,residential,,10.7,379.61099999999993,3477321554,71432104,,,"LINESTRING (-71.7128357 42.2937688, -71.7129067 42.2937523, -71.712951 42.293742, -71.7131763 42.2936845, -71.7136165 42.2935693, -71.7137929 42.2935231, -71.7140856 42.2934464, -71.7144346 42.2933551, -71.714752 42.293272, -71.7149508 42.2932187, -71.7150924 42.2931807, -71.715589 42.293023, -71.7156599 42.2930028, -71.71567 42.2929999, -71.7158048 42.2929616, -71.7159493 42.2929204, -71.716093 42.2928795, -71.716288 42.292824, -71.7164393 42.2927809, -71.716467 42.292773, -71.7165928 42.2927306, -71.7168815 42.2926333, -71.717004 42.292592, -71.7171205 42.2925208)"
71432104,71539563,0,9414569,0,,,Knowlton Avenue,residential,,,94.75999999999999,71539563,71432104,,,"LINESTRING (-71.7181651 42.2921618, -71.717689 42.2923344, -71.7171205 42.2925208)"
71432104,71476850,0,9415936,0,2,,Wesleyan Terrace,residential,,12.2,108.55600000000001,71476850,71432104,,,"LINESTRING (-71.7174402 42.2934679, -71.717349 42.293173, -71.7171205 42.2925208)"
71432345,71616970,0,9415516,0,2,,Neptune Drive,residential,,15.2,275.683,71616970,71432345,,,"LINESTRING (-71.710341 42.310676, -71.711832 42.310648, -71.713693 42.310632)"
71432345,71556994,0,9416538,0,2,,Aspen Road,residential,30 mph,12.2,192.74400000000003,71556994,71432345,,,"LINESTRING (-71.7125835 42.3115034, -71.712639 42.31157, -71.712707 42.31161, -71.712817 42.311641, -71.713027 42.311664, -71.713183 42.311654, -71.713327 42.311621, -71.713468 42.311554, -71.713568 42.311489, -71.713679 42.311379, -71.713742 42.311262, -71.71376 42.311161, -71.713758 42.311017, -71.713728 42.310798, -71.713693 42.310632)"
71432361,71451779,0,"[940355224, 9414556]",0,,,,residential,,,205.928,71451779,71432361,,,"LINESTRING (-71.729183 42.288239, -71.729181 42.288187, -71.729179 42.288136, -71.729177 42.288084, -71.729177 42.288037, -71.729178 42.28799, -71.729175 42.287943, -71.729169 42.287911, -71.729162 42.287878, -71.729153 42.287845, -71.729152 42.287841, -71.729144 42.287812, -71.729135 42.287779, -71.729124 42.287746, -71.729111 42.287717, -71.729096 42.287687, -71.729082 42.287656, -71.729065 42.287622, -71.729049 42.287587, -71.729033 42.287551, -71.729016 42.287518, -71.729 42.287483, -71.728989 42.287449, -71.728988 42.287417, -71.728992 42.287384, -71.728995 42.287352, -71.728997 42.287312, -71.728998 42.287271, -71.728996 42.287231, -71.728993 42.287201, -71.728988 42.28717, -71.728982 42.287139, -71.728972 42.287104, -71.7289506 42.2870436, -71.728947 42.287033, -71.7289422 42.2870159, -71.728935 42.286994, -71.728924 42.286956, -71.728911 42.286917, -71.728897 42.286879, -71.728883 42.28684, -71.728865 42.286803, -71.728845 42.286771, -71.728823 42.28674, -71.7288 42.286709, -71.728775 42.286671, -71.72875 42.286634, -71.728725 42.286596, -71.728705 42.286562, -71.728685 42.286527, -71.72866 42.286495, -71.728649 42.286484, -71.728638 42.286474, -71.728626 42.286464)"
71432361,71637025,0,9414556,0,,,,residential,,,115.39299999999997,71637025,71432361,,,"LINESTRING (-71.727595 42.285872, -71.728054 42.2862942, -71.72817 42.286401, -71.728201 42.286417, -71.728232 42.286433, -71.728264 42.286447, -71.728298 42.286459, -71.728334 42.286471, -71.728371 42.286478, -71.7284 42.28648, -71.728429 42.28648, -71.728459 42.286479, -71.728489 42.286479, -71.72852 42.286478, -71.72855 42.286476, -71.728588 42.286471, -71.728626 42.286464)"
71432361,71571986,0,848343643,0,,,,residential,,,228.60699999999994,71571986,71432361,,,"LINESTRING (-71.729758 42.285062, -71.730023 42.285388, -71.729969 42.285426, -71.729914 42.285463, -71.72986 42.2855, -71.729817 42.28553, -71.729774 42.285558, -71.729733 42.285588, -71.729694 42.285617, -71.729657 42.285646, -71.729627 42.285679, -71.729606 42.285719, -71.729595 42.285762, -71.729588 42.285806, -71.729587 42.285867, -71.729594 42.285928, -71.729595 42.285989, -71.72959 42.286032, -71.729581 42.286075, -71.729567 42.286116, -71.72953 42.286173, -71.729479 42.286226, -71.72942 42.286273, -71.729356 42.28631, -71.729284 42.286342, -71.72921 42.286368, -71.729111 42.28639, -71.729008 42.286403, -71.728904 42.286415, -71.728859 42.286422, -71.728814 42.286428, -71.728769 42.286435, -71.728734 42.286442, -71.7287 42.286449, -71.728665 42.286456, -71.728626 42.286464)"
71432878,71474930,0,9416546,0,2,,Main Street,secondary,35 mph,18.3,232.839,71474930,71432878,,,"LINESTRING (-71.728964 42.293352, -71.728798 42.293361, -71.728541 42.293386, -71.728486 42.293393, -71.728429 42.293401, -71.728374 42.29341, -71.728335 42.293419, -71.728297 42.293428, -71.728258 42.293437, -71.728208 42.293448, -71.728158 42.293458, -71.728109 42.29347, -71.728059 42.293483, -71.72801 42.293497, -71.72796 42.293511, -71.727913 42.293522, -71.727865 42.293534, -71.727818 42.293546, -71.727764 42.293562, -71.72771 42.293578, -71.727656 42.293593, -71.727606 42.293606, -71.727556 42.293619, -71.727507 42.293632, -71.727449 42.293648, -71.727391 42.293664, -71.727333 42.29368, -71.727262 42.293699, -71.72719 42.293719, -71.727118 42.293738, -71.727053 42.293755, -71.726988 42.293771, -71.726923 42.293789, -71.726852 42.29381, -71.726781 42.293832, -71.726709 42.293853, -71.726648 42.293871, -71.726586 42.293888, -71.726524 42.293906, -71.726462 42.293924, -71.726399 42.293942, -71.726335 42.29396, -71.726275 42.293976)"
71432878,6053820899,0,643242617,0,,,Tuscan Place,residential,,,89.205,6053820899,71432878,,,"LINESTRING (-71.7266825 42.2947101, -71.7265198 42.2945504, -71.726275 42.293976)"
71432901,71607373,0,9414129,0,2,,Walnut Street,residential,,15.2,306.61300000000006,71607373,71432901,,,"LINESTRING (-71.683058 42.289382, -71.6830671 42.2894004, -71.683153 42.289574, -71.683239 42.289809, -71.683299 42.289934, -71.683487 42.290272, -71.683647 42.290467, -71.683732 42.290548, -71.683802 42.290593, -71.6838737 42.2906257, -71.684063 42.290712, -71.6841504 42.29076, -71.684358 42.290874, -71.684526 42.29098, -71.684645 42.291076, -71.684785 42.291227, -71.6848957 42.2913241, -71.685159 42.291555, -71.685167 42.29156)"
71432901,71445285,0,"[9414456, 9415806]",0,1,,Walnut Hill Lane,residential,,6.1,135.07799999999997,71445285,71432901,,,"LINESTRING (-71.686277 42.290668, -71.685657 42.29111, -71.685167 42.29156)"
71432901,71715939,0,9414471,0,2,,Walnut Street,residential,,12.2,152.318,71715939,71432901,,,"LINESTRING (-71.686469 42.292534, -71.685876 42.292097, -71.685372 42.291712, -71.685321 42.291674, -71.68527 42.291636, -71.685219 42.291598, -71.685176 42.291567, -71.685167 42.29156)"
71432973,71723893,0,9414720,0,,,,residential,,,118.24300000000001,71723893,71432973,,,"LINESTRING (-71.731145 42.252335, -71.7309429 42.2524036, -71.730859 42.252432, -71.730555 42.252491, -71.730335 42.252508, -71.730146 42.252497, -71.729766 42.252412)"
71433012,71659414,0,9414899,0,,,Brookdale Circle,residential,,,36.238,71659414,71433012,,,"LINESTRING (-71.7003797 42.2731136, -71.699945 42.273166)"
71433012,71493056,0,513645160,0,,,Brookdale Circle,residential,,,25.89,71493056,71433012,,,"LINESTRING (-71.7001226 42.2733582, -71.699945 42.273166)"
71433012,71551119,0,9414899,0,,,Brookdale Circle,residential,,,202.034,71551119,71433012,,,"LINESTRING (-71.699144 42.274276, -71.699021 42.274213, -71.698962 42.274162, -71.698728 42.27385, -71.69869 42.273792, -71.698672 42.273736, -71.698671 42.273688, -71.698698 42.273633, -71.698756 42.273582, -71.699426 42.27326, -71.699533 42.273232, -71.699899 42.273172, -71.699945 42.273166)"
71433664,71577660,0,9414203,0,2,,Hobblebush Road,residential,30 mph,12.2,104.382,71577660,71433664,,,"LINESTRING (-71.7227072 42.251847, -71.7238542 42.2522475)"
71433664,71505785,0,9416306,0,2,,Arrowwood Drive,residential,30 mph,15.2,115.24499999999999,71505785,71433664,,,"LINESTRING (-71.7236126 42.2532661, -71.7237579 42.2525257, -71.7237781 42.2524304, -71.7238096 42.2523337, -71.7238542 42.2522475)"
71433664,71485512,0,9416306,0,2,,Arrowwood Drive,residential,30 mph,15.2,149.785,71485512,71433664,,,"LINESTRING (-71.7255097 42.2519133, -71.7245415 42.2519316, -71.7244324 42.2519388, -71.7243233 42.2519557, -71.7242141 42.2519859, -71.7241148 42.252028, -71.7240293 42.2520751, -71.7239633 42.2521269, -71.7239038 42.2521836, -71.7238542 42.2522475)"
71433734,71477105,0,9416174,0,2,,Douglas Circle,residential,,12.2,55.046,71477105,71433734,,,"LINESTRING (-71.7190159 42.2781157, -71.719674 42.278205)"
71433759,71623973,0,9416017,0,3,US 20,Hartford Turnpike,primary,40 mph,18.3,516.648,71623973,71433759,,,"LINESTRING (-71.7207831 42.2486389, -71.720975 42.24861, -71.720983 42.248609, -71.7218284 42.2484705, -71.721868 42.248464, -71.723003 42.248288, -71.7234978 42.2482093, -71.72409 42.248115, -71.724522 42.248046, -71.726756 42.247676, -71.726915 42.247647)"
71433923,71658778,0,9414151,0,2,,Rolfe Avenue,residential,,12.2,81.512,71658778,71433923,,,"LINESTRING (-71.739399 42.27309, -71.739498 42.273124, -71.739597 42.273158, -71.739695 42.273192, -71.739824 42.273239, -71.739952 42.273286, -71.740082 42.27333, -71.740155 42.273351, -71.740228 42.27337, -71.740301 42.273392)"
71433923,71665510,0,"[9415384, 9414151]",0,2,,"['Stanley Road', 'Rolfe Avenue']",residential,,12.2,126.53400000000002,71665510,71433923,,,"LINESTRING (-71.741294 42.274104, -71.741295 42.274025, -71.741296 42.273947, -71.7412938 42.273905, -71.7412904 42.2738718, -71.7412806 42.2738388, -71.7412717 42.2738056, -71.7412585 42.273775, -71.741112 42.273712, -71.741035 42.273687, -71.740915 42.273639, -71.740795 42.273593, -71.740675 42.273546, -71.740551 42.273493, -71.740428 42.273439, -71.740301 42.273392)"
71433923,71708297,0,696668113,0,2,,Miller Place,residential,,12.2,55.223,71708297,71433923,,,"LINESTRING (-71.740567 42.272938, -71.740349 42.273263, -71.740301 42.273392)"
71434071,71728585,0,9414129,0,2,,Walnut Street,residential,,15.2,35.209999999999994,71728585,71434071,,,"LINESTRING (-71.680283 42.282307, -71.680428 42.282436, -71.680533 42.282563)"
71434071,71550617,0,9414129,0,2,,Walnut Street,residential,,15.2,104.833,71550617,71434071,,,"LINESTRING (-71.680858 42.283468, -71.680822 42.283278, -71.680714 42.28287, -71.680613 42.282683, -71.680533 42.282563)"
71434071,71602241,0,9416208,0,2,,Nursery Drive,residential,30 mph,15.2,278.55400000000003,71602241,71434071,,,"LINESTRING (-71.677612 42.283156, -71.677662 42.283082, -71.677716 42.282999, -71.677772 42.282869, -71.677872 42.282741, -71.678009 42.282643, -71.678157 42.282578, -71.678288 42.282538, -71.678452 42.28253, -71.678761 42.28254, -71.679658 42.282598, -71.680194 42.282619, -71.680381 42.282605, -71.680533 42.282563)"
71434343,71617779,0,9415104,1,,,,trunk_link,,12.2,45.434000000000005,71434343,71617779,,,"LINESTRING (-71.711452 42.277188, -71.711486 42.27711, -71.7115 42.277091, -71.711531 42.277046, -71.711549 42.277019, -71.71157 42.276995, -71.711588 42.276981, -71.711607 42.276969, -71.711627 42.276958, -71.711646 42.276949, -71.711667 42.27694, -71.711687 42.276932, -71.711723 42.276919, -71.711759 42.276907, -71.711795 42.276895)"
71434343,71623949,0,93382837,0,2,,Grafton Street,primary,30 mph,12.2,199.64300000000003,71623949,71434343,,,"LINESTRING (-71.7114851 42.2789832, -71.7114785 42.278527, -71.711478 42.278496, -71.711473 42.278086, -71.7114644 42.2777619, -71.711455 42.277336, -71.711455 42.277296, -71.711456 42.277257, -71.711454 42.277219, -71.711452 42.277188)"
71434343,71487714,0,9414972,1,,,,trunk_link,,12.2,43.623,71487714,71434343,,,"LINESTRING (-71.711183 42.276871, -71.711207 42.276883, -71.711231 42.276894, -71.711254 42.276906, -71.711287 42.276925, -71.711318 42.276945, -71.711346 42.276967, -71.711371 42.276995, -71.711393 42.277025, -71.711411 42.277055, -71.711423 42.277078, -71.711433 42.277102, -71.711441 42.277126, -71.711448 42.277156, -71.711452 42.277188)"
71434408,71457144,0,9414481,0,2,,Flagg Road,residential,30 mph,9.1,73.34,71457144,71434408,,,"LINESTRING (-71.73117 42.245568, -71.731864 42.245237, -71.731896 42.245232, -71.731928 42.245227)"
71434408,71559222,0,9414481,0,2,,Flagg Road,residential,30 mph,9.1,44.023,71559222,71434408,,,"LINESTRING (-71.732461 42.245223, -71.732156 42.24521, -71.732123 42.245211, -71.732091 42.245214, -71.73206 42.245216, -71.732027 42.245218, -71.731993 42.245221, -71.73196 42.245223, -71.731928 42.245227)"
71434408,71697813,0,9416009,0,2,,George Street,residential,30 mph,9.1,127.11200000000001,71697813,71434408,,,"LINESTRING (-71.732406 42.246314, -71.732147 42.245727, -71.731928 42.245227)"
71434809,71455292,0,9414210,0,2,,Whippoorwill Drive,residential,,15.2,259.81700000000006,71455292,71434809,,,"LINESTRING (-71.689201 42.284936, -71.688194 42.285503, -71.688056 42.285574, -71.687931 42.285654, -71.687813 42.285716, -71.687723 42.285783, -71.687639 42.285911, -71.68754 42.286152, -71.687293 42.286488, -71.687263 42.286551, -71.68723 42.286657)"
71434809,71525469,0,9416006,0,2,,Main Boulevard,residential,,12.2,115.3,71525469,71434809,,,"LINESTRING (-71.687661 42.287636, -71.687272 42.286901, -71.687228 42.286755, -71.68723 42.286657)"
71434809,71536544,0,9416357,0,2,,Bumble Bee Circle,residential,,15.2,371.03000000000003,71536544,71434809,,,"LINESTRING (-71.689643 42.285604, -71.690007 42.286198, -71.690057 42.286343, -71.690075 42.286469, -71.690064 42.286567, -71.690012 42.286685, -71.689901 42.286788, -71.689761 42.286867, -71.689687 42.286889, -71.689335 42.286928, -71.688974 42.286937, -71.688855 42.286933, -71.688682 42.286908, -71.688491 42.286869, -71.687907 42.286697, -71.687832 42.286681, -71.68771 42.286672, -71.687491 42.286672, -71.68723 42.286657)"
71434809,71569440,0,9416357,0,2,,Bumble Bee Circle,residential,,15.2,275.59000000000003,71569440,71434809,,,"LINESTRING (-71.685269 42.285494, -71.685068 42.285957, -71.685036 42.286084, -71.685046 42.286163, -71.685076 42.286222, -71.685122 42.286274, -71.685181 42.286319, -71.68532 42.286386, -71.685538 42.286467, -71.686014 42.286621, -71.686187 42.286661, -71.686457 42.286685, -71.686605 42.286688, -71.68723 42.286657)"
71434928,71624379,0,366571738,1,2,,Maple Avenue,secondary,30 mph,15.2,39.927,71624379,71434928,,,"LINESTRING (-71.7374314 42.2757521, -71.7373563 42.2758037, -71.737308 42.2758434, -71.737287 42.2758701, -71.7372517 42.2759149, -71.7372034 42.2759724, -71.737143 42.276038)"
71434928,71710411,0,9415796,1,,,,trunk_link,30 mph,15.2,39.995,71710411,71434928,,,"LINESTRING (-71.7368466 42.2757998, -71.7369888 42.2758395, -71.7370612 42.2758712, -71.7371121 42.275916, -71.737128 42.275933, -71.737135 42.275961, -71.73714 42.275989, -71.737142 42.276013, -71.737143 42.276038)"
71435116,71649670,0,9414395,0,2,,Bunker Hill Road,residential,,15.2,59.285999999999994,71649670,71435116,,,"LINESTRING (-71.735944 42.284719, -71.735918 42.284679, -71.735771 42.284522, -71.73561 42.284368, -71.735571 42.284269)"
71435116,6515426638,0,9416142,0,2,,Old Mill Road,tertiary,,10.7,378.32800000000003,6515426638,71435116,,,"LINESTRING (-71.7387148 42.2819282, -71.738368 42.281986, -71.738257 42.282006, -71.73815 42.282033, -71.738063 42.282065, -71.737979 42.282103, -71.737901 42.282144, -71.737821 42.2822, -71.737747 42.282261, -71.737679 42.282324, -71.737612 42.282397, -71.73749 42.282548, -71.737323 42.282746, -71.737237 42.282843, -71.736986 42.283092, -71.736747 42.283341, -71.736675 42.283414, -71.736446 42.283639, -71.736279 42.283799, -71.736135 42.283932, -71.736056 42.283994, -71.735981 42.284042, -71.735821 42.28413, -71.735627 42.284241, -71.735571 42.284269)"
71435128,71440380,0,9414322,0,2,,Lakewood Drive,tertiary,,12.2,93.913,71440380,71435128,,,"LINESTRING (-71.746381 42.269958, -71.746405 42.269934, -71.746433 42.269912, -71.746464 42.269892, -71.746541 42.26986, -71.746628 42.269837, -71.746714 42.269814, -71.746796 42.269786, -71.746877 42.269758, -71.74696 42.269733, -71.747017 42.269718, -71.747075 42.269705, -71.747132 42.269691, -71.747225 42.269667, -71.747318 42.269642, -71.747411 42.269617)"
71435128,71625354,0,9416154,0,2,,Plainfield Avenue,residential,,15.2,66.74,71625354,71435128,,,"LINESTRING (-71.747279 42.270203, -71.747286 42.270106, -71.747294 42.270009, -71.747307 42.269912, -71.747315 42.269847, -71.747326 42.269781, -71.747347 42.269718, -71.747365 42.269683, -71.747386 42.26965, -71.747411 42.269617)"
71435148,71447447,0,9415514,0,2,,Greenwood Avenue,residential,,13.7,152.887,71447447,71435148,,,"LINESTRING (-71.691172 42.290231, -71.692968 42.289877)"
71435148,71699269,0,9415514,0,2,,Greenwood Avenue,residential,,13.7,74.837,71699269,71435148,,,"LINESTRING (-71.693849 42.289709, -71.692968 42.289877)"
71435148,71654711,0,9415507,0,2,,Seneca Street,residential,,12.2,246.523,71654711,71435148,,,"LINESTRING (-71.690469 42.289669, -71.690975 42.289416, -71.691179 42.289347, -71.691274 42.289336, -71.69151 42.289349, -71.692627 42.289454, -71.692723 42.289476, -71.692762 42.289498, -71.6928 42.289542, -71.692837 42.289614, -71.692968 42.289877)"
71435160,71439132,0,"[9416368, 9416301]",0,1,,East Lake Road,residential,,6.1,201.05099999999996,71439132,71435160,,,"LINESTRING (-71.750822 42.271029, -71.750953 42.271078, -71.751224 42.27112, -71.751729 42.271178, -71.752029 42.271228, -71.752184 42.271254, -71.752589 42.271298, -71.752667 42.271303, -71.752745 42.271307, -71.752819 42.271301, -71.752872 42.271286, -71.752924 42.271264, -71.752967 42.271238, -71.752998 42.271205, -71.753022 42.271167, -71.753038 42.271128, -71.753044 42.271081)"
71435219,71668935,0,"[9415777, 9414145]",0,2,,Hapgood Way,residential,,"['13.7', '12.2']",739.4339999999999,71668935,71435219,,,"LINESTRING (-71.72297 42.289568, -71.722441 42.289199, -71.721476 42.288515, -71.7207313 42.2880043, -71.719584 42.287202, -71.719225 42.286994, -71.718867 42.286813, -71.718598 42.286706, -71.718248 42.286548, -71.718016 42.286397, -71.717912 42.28629, -71.717839 42.286181, -71.717809 42.28611, -71.717773 42.285988, -71.717769 42.285913, -71.717777 42.285492, -71.717815 42.285134, -71.71792 42.28466)"
71435219,71504970,0,9416471,0,2,,Westport Drive,residential,,15.2,295.357,71504970,71435219,,,"LINESTRING (-71.716689 42.286481, -71.716673 42.286356, -71.716657 42.285933, -71.716715 42.28496, -71.716753 42.284827, -71.716801 42.284739, -71.716845 42.284689, -71.716891 42.284652, -71.716972 42.28461, -71.71708 42.284576, -71.717144 42.284567, -71.71729 42.284564, -71.717423 42.284574, -71.71792 42.28466)"
71435362,71644984,0,9415425,0,2,,Bruce Avenue,residential,,10.7,362.6940000000001,71644984,71435362,,,"LINESTRING (-71.7057395 42.2926875, -71.705352 42.293827, -71.705119 42.294516, -71.705108 42.294558, -71.705097 42.294599, -71.705085 42.29464, -71.705071 42.294676, -71.705056 42.294712, -71.705042 42.294749, -71.705031 42.294786, -71.70502 42.294824, -71.705012 42.294861, -71.705004 42.294906, -71.704998 42.294951, -71.704993 42.294996, -71.704987 42.295041, -71.704982 42.295087, -71.704977 42.295132, -71.704973 42.295175, -71.704969 42.295218, -71.704966 42.295262, -71.704964 42.2953, -71.704964 42.295338, -71.704961 42.295376, -71.704955 42.295414, -71.704947 42.295451, -71.704938 42.295487, -71.704924 42.29553, -71.704909 42.295571, -71.704892 42.295612, -71.704877 42.295648, -71.70486 42.295684, -71.704845 42.295721, -71.704827 42.295769, -71.704809 42.295817, -71.704792 42.295865)"
71435362,3341816851,0,661923649,0,2,,Main Street,secondary,35 mph,15.2,130.464,3341816851,71435362,,,"LINESTRING (-71.7032841 42.2955011, -71.703679 42.2956001, -71.7039252 42.2956618, -71.704456 42.295787, -71.704792 42.295865)"
71435362,71483200,0,661923649,0,2,,Main Street,secondary,35 mph,15.2,117.96,71483200,71435362,,,"LINESTRING (-71.706177 42.296139, -71.705778 42.29607, -71.7055568 42.2960267, -71.705135 42.295944, -71.704792 42.295865)"
71435577,71508658,0,9414411,0,2,,May Street,residential,,12.2,126.33100000000002,71508658,71435577,,,"LINESTRING (-71.749461 42.26533, -71.7493 42.26541, -71.749142 42.265493, -71.748978 42.26557, -71.748833 42.265623, -71.748685 42.265673, -71.748544 42.26573, -71.748485 42.26576, -71.748427 42.265792, -71.748374 42.265827, -71.7483356 42.2658592, -71.748318 42.265874, -71.748269 42.265924, -71.748219 42.265975)"
71435798,71648112,0,9414137,0,2,,Crescent Street,residential,,10.4,44.853,71648112,71435798,,,"LINESTRING (-71.723318 42.279022, -71.723532 42.278651)"
71435798,71595608,0,9414137,0,2,,Crescent Street,residential,,10.4,64.085,71595608,71435798,,,"LINESTRING (-71.723838 42.278121, -71.723532 42.278651)"
71435798,71689194,0,9415405,0,2,,Saybrook Road,residential,,12.2,316.73800000000006,71689194,71435798,,,"LINESTRING (-71.726457 42.27809, -71.726567 42.27838, -71.726576 42.278452, -71.726557 42.278494, -71.726454 42.278573, -71.726359 42.278618, -71.726245 42.278656, -71.725014 42.278964, -71.724861 42.27898, -71.724566 42.278979, -71.724375 42.278977, -71.72425 42.278961, -71.724112 42.278914, -71.723532 42.278651)"
71435826,71482611,0,376566715,1,2,,Main Street,secondary,35 mph,18.3,81.78,71435826,71482611,,,"LINESTRING (-71.7488906 42.2931803, -71.7490408 42.2933033, -71.74913 42.293373, -71.749356 42.293547, -71.74957 42.2937172)"
71435826,3799762121,0,376566716,0,2,,Main Street,secondary,35 mph,18.3,29.805,3799762121,71435826,,,"LINESTRING (-71.7486117 42.2930092, -71.748723 42.2930757, -71.7488906 42.2931803)"
71435826,71697744,0,9414164,1,2,,Main Street,secondary,35 mph,18.3,109.285,71697744,71435826,,,"LINESTRING (-71.7499 42.293815, -71.749744 42.2937, -71.749624 42.293615, -71.749581 42.293584, -71.749395 42.293458, -71.749261 42.293372, -71.749091 42.293274, -71.7488906 42.2931803)"
71435864,71721103,0,9414399,0,2,,Stoney Hill Road,residential,30 mph,15.2,117.577,71721103,71435864,,,"LINESTRING (-71.697088 42.256771, -71.6977022 42.256686, -71.6978098 42.2566759, -71.6979019 42.256673, -71.6980088 42.2566788, -71.6981331 42.2566969, -71.6982569 42.2567283, -71.6983629 42.2567673, -71.6984634 42.2568159)"
71435864,71674658,0,9416453,0,2,,Pheasant Hill Drive,residential,30 mph,12.2,231.883,71674658,71435864,,,"LINESTRING (-71.7001547 42.2551484, -71.700037 42.255279, -71.699214 42.256074, -71.6984634 42.2568159)"
71435869,71520209,0,9414219,0,2,,Spring Street,residential,,9.1,212.318,71520209,71435869,,,"LINESTRING (-71.6974089 42.3033181, -71.6975296 42.303298, -71.6977139 42.3032702, -71.6978627 42.3032521, -71.698011 42.3032373, -71.6981774 42.3032278, -71.6983439 42.3032228, -71.6985126 42.3032215, -71.6986261 42.3032204, -71.6987283 42.3032259, -71.6988279 42.3032363, -71.6990705 42.3032718, -71.699369 42.303316, -71.699592 42.303346, -71.699955 42.303407)"
71435869,2540791319,0,9414219,0,2,,Spring Street,residential,,9.1,113.838,2540791319,71435869,,,"LINESTRING (-71.7013187 42.3035812, -71.7011986 42.3035714, -71.7009903 42.303548, -71.700659 42.303502, -71.699955 42.303407)"
71435890,71709799,0,9414703,0,,,,residential,,,124.933,71709799,71435890,,,"LINESTRING (-71.75319 42.279166, -71.753324 42.279129, -71.753452 42.279066, -71.753665 42.278977, -71.753966 42.2789, -71.754608 42.278791)"
71435907,71666348,0,9414609,0,,,,residential,,,83.671,71666348,71435907,,,"LINESTRING (-71.682521 42.276768, -71.683488 42.276535)"
71435907,71471211,0,441656143,0,,,Commons Drive,residential,,,21.421,71471211,71435907,,,"LINESTRING (-71.683635 42.276694, -71.683488 42.276535)"
71435907,71459196,0,611218203,0,,,Commons Drive,residential,,,47.22,71459196,71435907,,,"LINESTRING (-71.683164 42.276185, -71.683209 42.276246, -71.683488 42.276535)"
71436117,71616921,0,9414414,0,2,,Beverly Road,residential,,12.2,89.634,71616921,71436117,,,"LINESTRING (-71.739225 42.279751, -71.738536 42.279918, -71.738381 42.279949, -71.738183 42.2799129)"
71436425,71474590,0,441655818,0,,,,residential,,,15.325,71474590,71436425,,,"LINESTRING (-71.683518 42.277366, -71.683632 42.277475)"
71436425,71622222,0,9414786,0,,,,residential,,,41.973,71622222,71436425,,,"LINESTRING (-71.683322 42.277256, -71.683331 42.277327, -71.683352 42.277386, -71.683409 42.277447, -71.683433 42.27746, -71.683489 42.277472, -71.683632 42.277475)"
71436425,71542230,0,441655818,0,,,,residential,,,103.214,71542230,71436425,,,"LINESTRING (-71.683932 42.278363, -71.6839285 42.278284, -71.683928 42.278273, -71.6838948 42.2780468, -71.683891 42.278021, -71.6838414 42.277821, -71.683835 42.277795, -71.683753 42.277633, -71.6837276 42.2775961, -71.68368 42.277527, -71.683632 42.277475)"
71436519,5913415786,0,9414706,0,,,Shannon Drive,residential,,,160.684,5913415786,71436519,,,"LINESTRING (-71.7417434 42.2594978, -71.741787 42.259472, -71.741933 42.259419, -71.742067 42.25941, -71.742524 42.259472, -71.743634 42.259647)"
71436519,71520754,0,9415131,0,1,,Cedar Road,residential,,9.1,135.503,71520754,71436519,,,"LINESTRING (-71.744047 42.26075, -71.743938 42.260611, -71.743879 42.260543, -71.743745 42.260424, -71.743682 42.260362, -71.743591 42.260247, -71.743559 42.260186, -71.743545 42.260114, -71.743546 42.260039, -71.743553 42.259964, -71.74357 42.25986, -71.743634 42.259647)"
71436519,71464951,0,9415131,0,1,,Cedar Road,residential,,9.1,182.048,71464951,71436519,,,"LINESTRING (-71.744538 42.258165, -71.744338 42.258428, -71.744243 42.258561, -71.744047 42.258868, -71.743935 42.259029, -71.743839 42.259134, -71.743796 42.259188, -71.743757 42.259267, -71.743654 42.259579, -71.743634 42.259647)"
71437110,71449597,0,9415916,0,2,,Egret Circle,residential,30 mph,12.2,122.66499999999999,71449597,71437110,,,"LINESTRING (-71.748372 42.286006, -71.74867 42.285982, -71.749127 42.285937, -71.749516 42.28589, -71.749627 42.285865, -71.749724 42.285828, -71.749816 42.285782)"
71437139,71531806,0,9414286,0,2,,View Street,residential,,12.2,163.593,71531806,71437139,,,"LINESTRING (-71.733055 42.2841, -71.733083 42.284059, -71.733111 42.284018, -71.733139 42.283977, -71.733206 42.283889, -71.733276 42.283803, -71.733347 42.283716, -71.733427 42.283617, -71.733507 42.283517, -71.733589 42.283419, -71.733674 42.283321, -71.73376 42.283223, -71.733845 42.283124, -71.733921 42.283029, -71.733997 42.282933, -71.734071 42.282836)"
